reference_id,target,booking_source,car_price,payment_mode_percent,token_type,emirates_of_registration,customer_nationality,test_drive_type,customer_age,customer_salary_bank,customer_salary,existing_emi,car_type,odo,model_year,car_age,loan_tenure,car_emi,new_emi,dbr,country_code_column,api_1_data_phone_basic_phoneValid,api_1_data_phone_basic_phoneDisposable,api_1_data_phone_basic_ported,api_1_data_phone_basic_portedHistory_changeInCarrierRegion,api_1_data_phone_social_profiles_emailProvider_google_registered,api_1_data_phone_social_profiles_ecommerce_amazon_registered,api_1_data_phone_social_profiles_socialMedia_facebook_registered,api_1_data_phone_social_profiles_socialMedia_twitter_registered,api_1_data_phone_social_profiles_socialMedia_instagram_registered,api_1_data_phone_social_profiles_professional_microsoft_registered,api_1_data_phone_social_profiles_professional_linkedin_registered,api_1_data_phone_social_profiles_messaging_telegram_registered,api_1_data_phone_social_profiles_messaging_telegram_privacyStatus,api_1_data_phone_social_profiles_messaging_whatsapp_registered,api_1_data_phone_social_profiles_messaging_whatsapp_privacyStatus,api_1_data_phone_social_profiles_messaging_skype_registered,api_1_data_email_social_profiles_consumerElectronics_apple_registered,api_1_data_email_social_profiles_emailProvider_google_registered,api_1_data_email_social_profiles_emailProvider_yahoo_registered,api_1_data_email_social_profiles_ecommerce_amazon_registered,api_1_data_email_social_profiles_ecommerce_ebay_registered,api_1_data_email_social_profiles_socialMedia_facebook_registered,api_1_data_email_social_profiles_socialMedia_instagram_registered,api_1_data_email_social_profiles_socialMedia_pinterest_registered,api_1_data_email_social_profiles_socialMedia_twitter_registered,api_1_data_email_social_profiles_messaging_skype_registered,api_1_data_email_social_profiles_professional_wordpress_registered,api_1_data_email_social_profiles_professional_linkedin_registered,api_1_data_email_social_profiles_professional_microsoft_registered,api_1_data_email_social_profiles_professional_hubspot_registered,api_1_data_email_social_profiles_entertainment_spotify_registered,api_1_data_email_social_profiles_entertainment_disneyplus_registered,api_1_data_email_social_profiles_financial_paypal_registered,api_1_data_email_basic_deliverable,api_1_data_email_basic_domainDetails_registered,api_1_data_email_basic_domainDetails_disposable,api_1_data_email_basic_domainDetails_freeProvider,api_1_data_email_basic_domainDetails_websiteExists,api_1_data_email_basic_domainDetails_acceptAll,api_1_data_email_basic_breach_isBreached,api_1_Eng_originalCarrier,api_1_Eng_currentCarrier,api_1_Eng_consumer_segment,api_1_data_phone_basic_portedHistory_numberOfPorts,api_1_data_phone_social_summary_registeredProfiles,api_1_data_phone_social_summary_registeredEmailProviderProfiles,api_1_data_phone_social_summary_registeredEcommerceProfiles,api_1_data_phone_social_summary_registeredSocialMediaProfiles,api_1_data_phone_social_summary_registeredProfessionalProfiles,api_1_data_phone_social_summary_registeredMessagingProfiles,api_1_data_phone_social_summary_numberOfPhotosReturned,api_1_data_email_social_summary_registeredProfiles,api_1_data_email_social_summary_registeredConsumerElectronicsProfiles,api_1_data_email_social_summary_registeredEmailProviderProfiles,api_1_data_email_social_summary_registeredEcommerceProfiles,api_1_data_email_social_summary_registeredSocialMediaProfiles,api_1_data_email_social_summary_registeredMessagingProfiles,api_1_data_email_social_summary_registeredProfessionalProfiles,api_1_data_email_social_summary_registeredEntertainmentProfiles,api_1_data_email_social_summary_registeredFinancialProfiles,api_1_data_email_social_summary_numberOfNamesReturned,api_1_data_email_basic_breach_noOfBreaches,api_1_data_email_basic_emailTenure,api_1_Eng_data_email_basic_breach_lastBreach_delta,api_1_Eng_platform_availability,api_1_Eng_data_phone_social_profiles_messaging_whatsapp_photo_availability,api_1_Eng_frequent_user,api_1_Eng_registeredEcommerceProfiles_comparison,api_1_Eng_registeredEmailProviderProfiles_comparison,api_1_Eng_registeredMessagingProfiles_comparison,api_1_Eng_registeredProfessionalProfiles_comparison,api_1_Eng_available_top3_segments,name_available,name_similarity_match_with_email_before_domain,location_present,location,photo_present,employement_history_count,recent_employer_name,education_history_count,designation_present,current_designation,number_of_designation,designation_changed,no_of_different_employer,work_experiance,joining_date_present_of_employemnt,exit_date_present_of_previous_employment,difference_between_no_joining_vs_no_exist,employer_logo_present,no_of_employer_logo_present,no_of_employement_linkedin_url_present,field_of_study_present,field_of_degree_present,field_of_school_present,first_education_completed_year_ago,current_exp_in_recent_company,total_time_spent_on_study,list_of_degree_name
YSO1E8,1,mSite,42995,80% - financing,NEX_TOKEN,DUBAI,India,HOME,38,ENBD,19000.0,6224.0,PRIME,104280,2016,7,4,816.905,7040.905,37.05739474,AE,True,False,False,NOT_SUPPORTED,True,True,,False,False,False,,False,,True,PUBLIC,False,True,True,False,False,False,,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,ETISALAT,,,,3.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,12.26,1758.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,,True,0.75,True,"oman, asia",False,3.0,specialized industrial services co. ltd (sisco),1.0,False,,,False,3.0,0.46,True,True,2.0,False,,,False,False,True,24.0,12.57,9,[]
N0RDDB,0,MobileApp,33999,100% - financing,NEX_TOKEN,DUBAI,India,HOME,29,EIB,7000.0,1.0,PRIME,82485,2015,8,3,834.8643333,835.8643333,11.94091905,AE,True,False,False,NOT_SUPPORTED,False,False,True,False,True,True,,,,True,PRIVATE,True,True,True,False,True,True,,False,True,True,False,False,True,True,False,False,False,False,True,True,False,True,True,False,True,DU,DU,,,5.0,0.0,0.0,2.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.45,164.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,0.0,True,"Dubai, United Arab Emirates",True,3.0,EAE Group,2.0,True,QA/QC Engineer,3.0,True,3.0,6.48,True,True,1.0,True,3.0,3.0,True,True,True,8.0,0.9,6,"[""Master's degree, Engineering Design"", 'Bachelor of Engineering - BE, Mechanical Engineering']"
G45U71,0,CC,57999,100% - financing,NEX_TOKEN,DUBAI,India,HUB,31,ADCB,4000.0,1.0,PRIME,106121,2019,4,5,908.651,909.651,22.741275,AE,True,False,False,NOT_SUPPORTED,False,False,False,False,False,False,,,,True,PUBLIC,False,False,True,False,True,False,False,True,True,False,True,False,,True,False,True,False,False,True,True,False,True,True,False,True,ETISALAT,,,,1.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,3.86,164.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
R2DGAK,1,MobileApp,59999,100% - financing,NEX_TOKEN,DUBAI,India,HUB,33,ADCB,8500.0,1.0,PRIME,101185,2017,6,5,939.9843333,940.9843333,11.07040392,AE,True,False,False,NOT_SUPPORTED,False,True,True,False,False,False,,True,PRIVATE,True,PRIVATE,True,True,True,True,True,True,True,True,True,True,True,,True,True,False,True,True,True,True,True,False,True,True,False,True,ETISALAT,,,,5.0,0.0,1.0,1.0,0.0,3.0,0.0,17.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,67.0,12.26,21.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
YOI25T,1,MobileApp,75999,100% - financing,NEX_TOKEN,DUBAI,Mexico,HOME,46,Others,40000.0,1.0,PRIME,4333,2024,0,5,1190.651,1191.651,2.9791275,AE,True,False,False,NOT_SUPPORTED,False,True,True,False,True,False,,True,PRIVATE,True,PRIVATE,False,,True,True,True,False,True,True,True,True,True,,True,True,False,True,True,False,True,True,False,True,True,False,True,DU,DU,,,5.0,0.0,1.0,2.0,0.0,2.0,0.0,13.0,0.0,2.0,1.0,4.0,1.0,2.0,2.0,0.0,1.0,13.0,16.1,389.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,,True,0.59,True,"spain, europe",False,12.0,img worlds of adventure,8.0,False,,,False,12.0,46.61,True,True,2.0,False,,,False,False,True,24.0,0.98,12,[]
PGKBVI,0,MobileApp,34999,100% - financing,NEX_TOKEN,DUBAI,Zimbabwe,HOME,29,Others,5000.0,1.0,PRIME,83972,2016,7,4,664.981,665.981,13.31962,AE,True,False,False,NOT_SUPPORTED,False,True,True,False,False,False,,True,PRIVATE,True,PUBLIC,False,True,True,False,False,False,True,,False,True,False,False,True,True,False,True,False,False,True,True,False,True,True,False,True,ETISALAT,,,,4.0,0.0,1.0,1.0,0.0,2.0,1.0,9.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,2.22,810.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
8LN7SO,0,MobileApp,69999,100% - financing,NEX_TOKEN,DUBAI,United Kingdom,HOME,26,Others,15000.0,0.0,PRIME,16470,2023,0,5,1096.651,1096.651,7.311006667,AE,True,False,False,NOT_SUPPORTED,False,False,True,True,,False,,True,PUBLIC,True,PUBLIC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,DU,DU,,,4.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
1WAABJ,0,MobileApp,59999,100% - financing,NEX_TOKEN,DUBAI,India,HOME,32,ENBD,25000.0,5055.0,PRIME,48841,2018,5,5,939.9843333,5994.984333,23.97993733,AE,True,False,False,NOT_SUPPORTED,False,False,True,True,,False,,,,True,PRIVATE,True,,True,False,True,False,False,True,,True,True,False,True,True,False,False,True,False,True,True,False,True,True,False,True,DU,DU,,,4.0,0.0,0.0,2.0,0.0,2.0,1.0,11.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,5.0,5.69,481.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,[]
LFCG0K,0,MobileApp,28999,100% - financing,EX_TOKEN,ABU_DHABI,India,HUB,29,ENBD,9000.0,1.0,PRIME,74225,2020,3,5,454.3176667,455.3176667,5.059085185,AE,True,False,False,NOT_SUPPORTED,True,True,False,False,,False,,,,True,PUBLIC,False,True,True,False,False,False,True,True,False,True,False,False,,True,False,False,False,False,True,True,False,True,True,False,True,ETISALAT,,,,3.0,1.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,5.69,1315.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,,True,0.0,True,"Dubai, United Arab Emirates",True,4.0,EFS Facilities Services Group (EFS),2.0,True,Public Relations Officer,4.0,True,3.0,7.25,True,True,2.0,True,4.0,4.0,True,True,True,7.0,2.39,7,
CA41JB,1,MobileApp,75999,100% - financing,EX_TOKEN,DUBAI,Philippines,HUB,31,ENBD,9000.0,1400.0,PRIME,51192,2021,2,5,1190.651,2590.651,28.78501111,AE,True,False,False,NOT_SUPPORTED,True,True,True,False,True,True,,True,PUBLIC,True,PUBLIC,False,,True,False,True,False,False,False,True,True,False,False,,True,False,True,False,False,True,True,False,True,True,False,False,ETISALAT,,,,7.0,1.0,1.0,2.0,1.0,2.0,2.0,8.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,,,7.0,1.0,1.0,1.0,0.0,0.0,0.0,,False,,False,,False,,,,False,,,False,,,False,False,,False,,,False,False,False,,,0,
